@ NAME             %06s "SURVEY"
@ TYPE             %06s "SURVEY"
@ TITLE            %01s "s"
@ ORIGIN           %18s "5.07.00 Windows 64"
@ DATE             %08s "02/12/21"
@ TIME             %08s "16.49.15"
* NAME               KEYWORD                             S                  L              ANGLE                  X                  Y                  Z              THETA                PHI                PSI         GLOBALTILT               TILT    SLOT_ID ASSEMBLY_ID           MECH_SEP              V_POS COMMENTS           
$ %s                 %s                                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le                %le         %d         %d                %le                %le %s                 
 "ST6.1"             "KICKER"                        48.505               0.32                  0       -28.05186516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH6.1"           "HMONITOR"                       48.77              0.265                  0       -28.31686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF6.1.ERR"         "MULTIPOLE"                      48.77                  0                  0       -28.31686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF6.1"             "QUADRUPOLE"                     49.24               0.47                  0       -28.78686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF6.1.ERR"         "MULTIPOLE"                      49.24                  0                  0       -28.78686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_18"          "DRIFT"                          56.24                  7                  0       -35.78686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.2.ERR"         "MULTIPOLE"                      56.24                  0                  0       -35.78686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.2"             "QUADRUPOLE"                     56.71               0.47                  0       -36.25686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QD1.2.ERR"         "MULTIPOLE"                      56.71                  0                  0       -36.25686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMV1.2"           "VMONITOR"                      56.975              0.265                  0       -36.52186516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "ST1.2"             "KICKER"                        57.295               0.32                  0       -36.84186516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "BPMH1.2"           "HMONITOR"                       57.56              0.265                  0       -37.10686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.2.ERR"         "MULTIPOLE"                      57.56                  0                  0       -37.10686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.2"             "QUADRUPOLE"                     58.03               0.47                  0       -37.57686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "QF1.2.ERR"         "MULTIPOLE"                      58.03                  0                  0       -37.57686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "DRIFT_19"          "DRIFT"                          58.98               0.95                  0       -38.52686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "M2A.2.ERR"         "MULTIPOLE"                      58.98                  0                  0       -38.52686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
 "KM2A.2.ERR"        "KICKER"                         58.98                  0                  0       -38.52686516                  0        32.28686516       -1.570796327                  0                  0                  0                  0          0          0                  0                  0 ""                 
